Views,Readers,Comments,Recommends,StartWriting,LastUpdate,Status,Size,SizeType,Author,FanficsTitle,FanficsType
8081,232,12,2,24.09.2019,01.12.2019,В процессе,258,Макси,ночная звездочка,Телохранитель для Гермионы,гет
19491,538,261,5,20.10.2019,01.12.2019,В процессе,217,Макси,Shuburshunchik,Грозный сэр Макс в Хогвартсе,джен
5130,297,17,0,01.02.2016,01.12.2019,В процессе,39,Миди,Heks,Только шалость,джен
5806,167,21,0,13.11.2019,01.12.2019,В процессе,316,Макси,Orchid2707,Гарри Поттер. Продолжение. Первый курс Академии авроров.,гет
9744,383,55,1,29.10.2018,01.12.2019,В процессе,160,Макси,Fluffycloud,Мастер ограблений,слэш
2607690,5410,12568,46,03.03.2016,01.12.2019,В процессе,4537,Макси,CMD,Диктатор,джен
28948,629,331,2,06.09.2019,01.12.2019,В процессе,178,Макси,Isra,Спас? А теперь – беги!,слэш
172787,1097,1053,6,01.05.2019,30.11.2019,В процессе,1448,Макси,Мольфар,Палочка для Рой,джен
129936,1580,105,2,28.12.2017,30.11.2019,В процессе,695,Макси,Godunoff,Настоящий шотландец,джен
68,4,0,0,30.11.2019,30.11.2019,В процессе,33,Миди,Ho_mo,Мост над небом,джен
5588,292,33,3,22.09.2019,30.11.2019,В процессе,100,Макси,StilleWasser,Разврат,гет
17867,289,65,0,24.01.2018,30.11.2019,В процессе,1738,Макси,Sagara J Lio,Classified. В лабиринте секретных служб,гет
99642,1960,356,5,09.05.2019,30.11.2019,В процессе,799,Макси,elena4119,Слепота/Blindness,гет
336,23,0,0,29.11.2019,30.11.2019,В процессе,118,Макси,T_Vell,Место под солнцем,джен
13408,559,36,0,18.10.2019,30.11.2019,В процессе,255,Макси,Рада Девил,Это вам не игрушки!,слэш
6917,97,237,0,25.10.2019,30.11.2019,В процессе,220,Макси,Wrul,Рики-Тики-Тави,джен
475325,3742,1460,17,21.10.2018,30.11.2019,В процессе,1600,Макси,Jana Mazai-Krasovskaya,Иммунитет,джен
32085,564,33,0,03.06.2019,30.11.2019,В процессе,501,Макси,michalmil,Изумрудные глаза,джен
42059,1293,463,3,18.06.2019,30.11.2019,В процессе,203,Макси,Рэйя,Осень на двоих. Последнее мгновение вечности,гет
353407,2280,842,25,02.06.2015,30.11.2019,В процессе,1849,Макси,Мёриел,После Войны,гет
6423,233,987,2,16.11.2019,30.11.2019,В процессе,102,Миди,Alteya,Мех под кожей,джен
344,29,1,0,16.11.2019,29.11.2019,В процессе,96,Миди,ну оль,Friendzone manor,джен
20459,397,38,3,12.02.2016,29.11.2019,В процессе,476,Макси,Oversider,Повернуть вспять,гет
200361,2750,279,11,29.06.2017,29.11.2019,В процессе,1736,Макси,Зубенеш,Любимец Смерти,гет
875,65,2,0,27.11.2019,29.11.2019,В процессе,37,Миди,Виллиму,Школьные будни Хогвартса,гет
14009,347,14,2,11.10.2019,29.11.2019,В процессе,312,Макси,Olivia Winner,Во благо Ордена Феникса,гет
230,23,0,0,22.11.2019,29.11.2019,В процессе,80,Макси,T_Vell,Тени прошлого. Жизнь после смерти,гет
1864,240,6,0,19.11.2019,29.11.2019,В процессе,58,Миди,ghope,Заунывные полуночники,слэш
27448,590,84,2,10.05.2018,29.11.2019,В процессе,353,Макси,Lady Rovena,Леди в маске,гет
2211,152,2,0,04.07.2019,29.11.2019,В процессе,74,Миди,Jane F,Одна весна и две осени,гет
30008,406,116,2,13.04.2019,29.11.2019,В процессе,1302,Макси,Несовершенный,Грязь,гет
3339,324,65,5,28.11.2019,29.11.2019,Закончен,9,Мини,Isra,О великой силе слов,слэш
19169,687,69,0,23.07.2019,28.11.2019,В процессе,641,Макси,Крон,In saecula saeculorum,слэш
22013,562,29,3,17.06.2018,28.11.2019,В процессе,260,Макси,Godunoff,Томми Аткинс,джен
847,56,12,0,28.11.2019,28.11.2019,В процессе,17,Макси,ArtChaos,Банка с Поттерами,гет
609,69,1,0,28.11.2019,28.11.2019,В процессе,25,Миди,Tata_Matata,Слепой поворот,гет
223,28,0,0,28.11.2019,28.11.2019,Закончен,6,Мини,_BlackJack_,Whisper / Шёпот,джен
73523,1097,169,12,31.08.2017,28.11.2019,В процессе,294,Миди,Mirroring,За бортом,гет
25321,808,60,1,12.09.2019,28.11.2019,В процессе,446,Макси,DVolk67,Гарри Поттер и новая семья. Последний курс,фемслэш
5796,188,21,0,24.11.2019,28.11.2019,В процессе,672,Макси,Anelem,Изменяя все,гет
12616,257,13,0,07.10.2019,28.11.2019,В процессе,1110,Макси,marishka2255,How to Win Friends and Influence People,гет
21362,447,446,4,12.07.2019,28.11.2019,Закончен,579,Макси,otium,"""Л"" значит Лили. Часть II",гет
21496,481,255,5,18.08.2019,27.11.2019,В процессе,529,Макси,SeverinVioletta,Черный принц,джен
159,23,4,0,27.11.2019,27.11.2019,В процессе,18,Миди,benderchatko,37 часов вторника. 9 часов четверга,гет
123505,880,210,4,21.01.2017,27.11.2019,В процессе,1742,Макси,б-кап,"Невилл и все, все, все",джен
777,220,6,0,27.11.2019,27.11.2019,В процессе,22,Миди,nyavka,Хогвартс лучше знает,слэш
16805,676,11,0,08.06.2019,27.11.2019,В процессе,161,Миди,lvenok-linka,"Привет, я Гарри - ваш сын",слэш
2946,237,12,1,27.11.2019,27.11.2019,Закончен,40,Мини,AlexisSincler,Три проблемы Поттера,гет
9154,456,91,2,04.09.2019,27.11.2019,В процессе,235,Макси,Lothraxi,Не конец пути,гет
628,128,2,0,27.11.2019,27.11.2019,В процессе,16,Миди,Grianyshka,Консультант,слэш
54490,1049,76,4,12.05.2019,27.11.2019,В процессе,438,Макси,anforser,История невыразимца,гет
850,31,2,0,17.11.2019,27.11.2019,В процессе,48,Миди,Лунный Бродяга,Правила поведения в Хогвартсе для самых смелых,джен
8761,266,15,1,26.11.2019,27.11.2019,Закончен,222,Макси,julia5g,Когда мечты сбываются-3,джен
44305,638,167,3,15.02.2019,27.11.2019,В процессе,1123,Макси,Hoshi_Mai,Любовь во время зимы,гет
1254,73,0,0,23.11.2019,27.11.2019,В процессе,98,Макси,Iguanidae,Time is like a promise,джен
1339,127,47,6,26.11.2019,26.11.2019,Закончен,33,Мини,SeverinVioletta,"Юбилей зельевара, или Четыре подарка от чистого сердца",джен
561,36,51,0,26.11.2019,26.11.2019,Закончен,5,Мини,келли малфой,"Кто-нибудь, помогите Молли!",джен
289,31,13,0,26.11.2019,26.11.2019,Закончен,10,Мини,kayrin,Remembering Birthdays,джен
1753,117,15,0,26.11.2019,26.11.2019,Закончен,45,Мини,Specialhero,Как разгадать загадку Гермионы Малфой,гет
396,32,2,0,26.11.2019,26.11.2019,Закончен,2,Мини,Арбузик2007,Съесть хвосторогу,джен
20081,332,49,1,24.02.2017,26.11.2019,В процессе,278,Миди,Avada_36,Риддл. Мальчик-загадка,джен
5595,126,8,0,26.10.2019,26.11.2019,В процессе,63,Макси,SPV,Живучий Гарри,джен
15118,661,22,0,30.06.2019,26.11.2019,В процессе,180,Макси,Strannik93,Лев на охоте,гет
121935,1737,286,1,10.03.2018,26.11.2019,В процессе,826,Макси,Цирси,47 days to change,слэш
107528,1435,687,15,08.08.2019,26.11.2019,В процессе,1171,Макси,cannonau,Poor poor Persephone,джен
188016,2133,869,9,27.03.2014,26.11.2019,В процессе,1722,Макси,HazelL,Часть истории,слэш
65807,601,136,1,30.06.2017,25.11.2019,В процессе,889,Макси,Мячёв,Significant Digits - Значащие цифры,джен
379,36,19,0,25.11.2019,25.11.2019,Закончен,6,Мини,Deus Sex Machina,Нейтрально-чёрная,гет
17251,411,64,0,23.02.2019,25.11.2019,В процессе,556,Макси,mary,Вернуться назад,слэш
22368,460,419,4,31.08.2019,25.11.2019,В процессе,646,Макси,Edelweiss,Мыс альбатросов,гет
18258,512,3,0,15.08.2016,25.11.2019,В процессе,283,Макси,Dinchen,Лабиринт отношений,слэш
579,13,2,0,24.02.2019,25.11.2019,В процессе,52,Миди,znaika,Возможная жизнь,джен
3358,295,30,0,05.11.2019,24.11.2019,В процессе,30,Миди,ночная звездочка,Рука об руку,гет
33692,699,33,3,14.03.2019,24.11.2019,В процессе,665,Макси,Masha Christmas,Графиня Малфой,гет
131,10,2,0,24.11.2019,24.11.2019,Закончен,5,Мини,Iguanidae,Эффект чупакабры,джен
10259,126,44,1,15.03.2019,24.11.2019,В процессе,409,Макси,Демон отчаяния,Слизеринская грязнокровка,джен
5566,119,11,1,03.03.2019,24.11.2019,В процессе,328,Макси,Миссис X,Надежда для Тёмного Лорда,гет
48240,737,49,1,20.12.2017,24.11.2019,В процессе,559,Макси,Арья Феникс,Better Off Forgotten,гет
33210,773,73,3,18.09.2018,24.11.2019,В процессе,170,Макси,Avada_36,Взгляд Майкрофта,гет
4782,140,26,1,02.08.2019,24.11.2019,В процессе,183,Макси,Ночная Тень,Still Delicate - Ещё нежнее,гет
4458,208,14,2,13.11.2019,24.11.2019,В процессе,856,Макси,Fiona Goode,Последний враг истребится - смерть,слэш
1335,104,25,0,23.10.2019,24.11.2019,В процессе,150,Макси,Borsari,Safeguard,джен
3308,187,56,0,15.06.2019,24.11.2019,В процессе,62,Миди,Potash,Попутный ветер Драко Малфоя (Дольний ветер),слэш
12175,418,45,1,15.03.2019,24.11.2019,В процессе,578,Макси,мариша,"Неуловимый,    Безликий,    Тень",слэш
101498,1237,309,3,14.06.2013,24.11.2019,В процессе,1448,Макси,Lady Rovena,Голод_Жажда_Безумие,гет
6953,309,123,2,13.11.2019,24.11.2019,В процессе,37,Миди,Isra,Короли танцпола,слэш
353,31,11,0,23.11.2019,23.11.2019,Закончен,3,Мини,Чистомет7,Маггла,джен
6602,361,39,2,09.02.2019,23.11.2019,В процессе,54,Миди,ama_kate,Гарри Поттер-Аддамс,джен
5499,188,16,0,25.09.2017,23.11.2019,В процессе,62,Макси,angryberry,Сны о минувшем будущем,гет
10439,346,14,0,11.08.2019,23.11.2019,В процессе,268,Макси,kayrin,The Poor of God,джен
1755,155,48,2,23.11.2019,23.11.2019,Закончен,43,Мини,ULя,"Праздник, от которого никуда не деться",гет
100353,1402,734,0,14.11.2010,23.11.2019,В процессе,113,Макси,DEMON_ku,Гарри Поттер и коварство Белиара,гет
1403,134,1,0,17.11.2019,23.11.2019,В процессе,75,Миди,Gey_fert,Фарфоровая маска души,гет
30270,474,53,0,21.12.2018,23.11.2019,В процессе,985,Макси,Фато Ретти,"Чем гуще тьма, тем легче быть звездой",джен
13759,259,34,2,15.12.2015,23.11.2019,В процессе,302,Макси,drakondra,Без права на ничью,гет
2177,121,5,0,19.09.2019,22.11.2019,В процессе,137,Миди,Kin0,Их история,гет
1185,178,113,1,22.11.2019,22.11.2019,Закончен,12,Мини,Alteya,"Рабочие будни Уолдена МакНейра, ликвидатора опасных существ, часть 4",джен
695,110,13,0,22.11.2019,22.11.2019,Закончен,3,Мини,S H,Лимон,слэш
439,53,48,0,22.11.2019,22.11.2019,Закончен,7,Мини,келли малфой,С юбилеем! Всегда и безраздельно ваш Драко Малфой,джен
6395,101,8,0,28.06.2019,22.11.2019,Закончен,1896,Макси,T_Vell,Тени прошлого. Начало,гет
23424,1344,53,1,04.01.2019,22.11.2019,В процессе,137,Макси,dadagi,Проклятие знания,джен
52648,827,144,1,08.09.2018,22.11.2019,В процессе,414,Макси,Amarelle,По усмотрению директора,гет
763736,5829,889,15,07.04.2013,22.11.2019,В процессе,2752,Макси,kroki,План Мародера,джен
59883,1499,83,0,18.03.2012,22.11.2019,В процессе,407,Макси,Voldemort,Сохраняя безмолвие,слэш
112,12,2,0,22.11.2019,22.11.2019,Закончен,6,Мини,Feature in the Dust,Подходящий момент,гет
188,24,7,0,22.11.2019,22.11.2019,Закончен,3,Мини,Trainspotting,«Сникус»,гет
640708,7114,503,7,29.05.2014,22.11.2019,В процессе,1132,Макси,Череп Розенталя,Growing Up Black | Вырасти Блэком,джен
407,36,3,0,22.11.2019,22.11.2019,Закончен,13,Мини,Sienna Evans,Beautiful crime,джен
6836,282,53,4,15.08.2019,21.11.2019,В процессе,116,Макси,Some An,Необратимые,гет
1241,70,4,0,06.08.2019,21.11.2019,В процессе,39,Макси,Stingrey,"Алле-ап, или Выкрутасы сознания ковёрного",джен
8558,477,45,0,27.05.2019,21.11.2019,В процессе,122,Миди,Gavry,Вслушиваясь в темноту,слэш
1328,181,97,1,21.11.2019,21.11.2019,Закончен,12,Мини,Alteya,"Рабочие будни Уолдена МакНейра, ликвидатора опасных существ, часть 3",джен
1941,136,10,1,21.11.2019,21.11.2019,Закончен,32,Мини,Specialhero,Как подружиться с Гарри Поттером,гет
472,36,0,0,20.11.2019,20.11.2019,В процессе,76,Макси,Lily_Garden,Магически связаны,гет
